occurrence_shops_500m,occurrence_amenities_500m,occurrence_shops,occurrence_amenities,occurrence_junctions_5000m,occurrence_highways_5000m,distribution_shop,distribution_amenities,distribution_shop_500ms,distribution_amenities_500m,proximity_shops_500m,proximity_amenities_500m,proximity_shops,proximity_amenities,proximity_transport_500m,proximity_junction_5km,proximity_highway_5km,correlation_shops_amenities
98,464,45,21,0,624,-0.0477439015459316,-0.286704539901971,-0.209878455061669,-0.0181586347405393,229.088529905788,363.955843686921,56.755081976242,45.4764056428628,140.18259968026,NA,3455.06380049478,2.14285714285714
370,775,149,10,11,104,NA,-0.12362995698144,-0.190817891024909,-0.0242620842958262,374.536497384679,439.304220700269,156.300965602628,103.360124356405,NA,2369.10561333834,2588.64507814976,14.9
11,105,7,7,4,149,NA,-0.234701356153553,-0.0625942049302662,-0.0478673749647812,199.51161196802,311.162988982742,95.3471857744323,54.2420978135584,NA,3956.0516774381,3150.65400878913,1
312,530,312,56,14,184,-0.0701126433899228,-0.0499295160466595,-0.0701126433899228,-0.0182813455233688,164.238542608564,329.182992596845,164.238542608564,152.662822483623,NA,2547.51002593781,2804.41056797904,5.57142857142857
580,617,290,60,2,212,-0.0250660677032796,-0.103632217428437,-0.0275444929110739,-0.0408546736608542,160.516783686574,268.09398233395,52.4807204905191,50.3360474149807,492.078605625014,3262.48960487657,3288.98368420165,4.83333333333333
160,490,16,6,0,377,-0.0708300237070111,-0.0434655456704928,-0.0407506010880723,-0.0345699982985241,184.204312087689,278.124003804505,29.7324818570703,34.1156673157706,NA,NA,3391.10201842813,2.66666666666667
330,466,49,30,4,381,-0.0379570751074506,-0.134883745982594,-0.0278316777051717,-0.0465030672814325,312.607171718959,327.238859957308,72.7446459264703,56.8132619896158,404.751878023408,3247.30480306871,3432.56661890221,1.63333333333333
305,554,100,30,2,245,-0.0591702893415219,-0.0654655230178424,-0.0371965699643344,-0.00884549705422855,266.468097342938,330.206516643575,90.5733942282441,97.2797645691657,NA,2236.1019895629,3632.31527644362,3.33333333333333
60,226,36,22,3,70,-0.0285898422101563,-0.0476040263305768,-0.117960697321247,-0.0682479285762033,207.599629187754,293.631515448827,79.0191892374942,74.0530556718209,NA,3219.57036124756,3993.76791656601,1.63636363636364
91,496,33,4,0,163,-0.0375949700700394,-0.365697863689635,-0.0966365744087187,-0.0180956983602499,225.579214308188,363.290719064976,75.7300849244526,62.6451449527958,239.809147489547,NA,3571.24711819775,8.25
